name	x	y	z	size	material	manufacturer	group	hemisphere	silicon	soz
T01	-44.5	37.5	-34.45	4.2	Platinum	AdTech	grid	L	no	no
T02	-49.5	31.5	-28.45	4.2	Platinum	AdTech	grid	L	no	no
T03	-52.5	25.5	-21.45	4.2	Platinum	AdTech	grid	L	no	no
T04	-57.5	20.5	-14.45	4.2	Platinum	AdTech	grid	L	no	yes
T05	-62.5	13.5	-8.45	4.2	Platinum	AdTech	grid	L	no	no
T06	-63.5	7.5	-0.45001	4.2	Platinum	AdTech	grid	L	no	no
T07	-61.5	0.5	6.55	4.2	Platinum	AdTech	grid	L	no	no
T08	-61.5	-7.5	14.55	4.2	Platinum	AdTech	grid	L	no	no
T09	-45.5	30.5	-41.45	4.2	Platinum	AdTech	grid	L	no	no
T10	-51.5	25.5	-36.45	4.2	Platinum	AdTech	grid	L	no	no
T11	-55.5	20.5	-29.45	4.2	Platinum	AdTech	grid	L	no	yes
T12	-62.5	14.5	-21.45	4.2	Platinum	AdTech	grid	L	no	yes
T13	-63.5	7.5	-14.45	4.2	Platinum	AdTech	grid	L	no	yes
T14	-65.5	-0.5	-7.45	4.2	Platinum	AdTech	grid	L	no	yes
T15	-64.5	-7.5	0.54999	4.2	Platinum	AdTech	grid	L	no	yes
T16	-61.5	-14.5	7.55	4.2	Platinum	AdTech	grid	L	no	yes
T17	-46.5	22.5	-49.45	4.2	Platinum	AdTech	grid	L	no	yes
T18	-53.5	18.5	-43.45	4.2	Platinum	AdTech	grid	L	no	yes
T19	-58.5	12.5	-37.45	4.2	Platinum	AdTech	grid	L	no	yes
T20	-63.5	6.5	-28.45	4.2	Platinum	AdTech	grid	L	no	yes
T21	-64.5	-0.5	-21.45	4.2	Platinum	AdTech	grid	L	no	yes
T22	-64.5	-8.5	-14.45	4.2	Platinum	AdTech	grid	L	no	yes
T23	-64.5	-15.5	-7.45	4.2	Platinum	AdTech	grid	L	no	yes
T24	-62.5	-21.5	0.54999	4.2	Platinum	AdTech	grid	L	no	yes
T25	-44.5	14.5	-53.45	4.2	Platinum	AdTech	grid	L	no	no
T26	-51.5	10.5	-48.45	4.2	Platinum	AdTech	grid	L	no	no
T27	-57.5	4.5	-43.45	4.2	Platinum	AdTech	grid	L	no	no
T28	-61.5	-0.5	-37.45	4.2	Platinum	AdTech	grid	L	no	no
T29	-64.5	-7.5	-28.45	4.2	Platinum	AdTech	grid	L	no	no
T30	-62.5	-18.5	-21.45	4.2	Platinum	AdTech	grid	L	no	no
T31	-63.5	-23.5	-13.45	4.2	Platinum	AdTech	grid	L	no	yes
T32	-60.5	-29.5	-6.45	4.2	Platinum	AdTech	grid	L	no	yes
OT33	-1.5	-69.5	16.55	4.2	Platinum	AdTech	grid	L	no	no
OT34	-12.5	-70.5	15.55	4.2	Platinum	AdTech	grid	L	no	no
OT35	-21.5	-67.5	13.55	4.2	Platinum	AdTech	grid	L	no	no
OT36	-30.5	-65.5	9.55	4.2	Platinum	AdTech	grid	L	no	no
OT37	-38.5	-61.5	5.55	4.2	Platinum	AdTech	grid	L	no	yes
OT38	-44.5	-55.5	0.54999	4.2	Platinum	AdTech	grid	L	no	yes
OT39	-50.5	-47.5	-6.45	4.2	Platinum	AdTech	grid	L	no	yes
OT40	-55.5	-41.5	-11.45	4.2	Platinum	AdTech	grid	L	no	yes
OT41	-3.5	-63.5	23.55	4.2	Platinum	AdTech	grid	L	no	no
OT42	-13.5	-64.5	24.55	4.2	Platinum	AdTech	grid	L	no	no
OT43	-22.5	-62.5	21.55	4.2	Platinum	AdTech	grid	L	no	no
OT44	-31.5	-59.5	18.55	4.2	Platinum	AdTech	grid	L	no	no
OT45	-39.5	-55.5	13.55	4.2	Platinum	AdTech	grid	L	no	yes
OT46	-46.5	-49.5	8.55	4.2	Platinum	AdTech	grid	L	no	yes
OT47	-51.5	-43.5	4.55	4.2	Platinum	AdTech	grid	L	no	yes
OT48	-57.5	-35.5	-2.45	4.2	Platinum	AdTech	grid	L	no	yes
OT49	-3.5	-56.5	30.55	4.2	Platinum	AdTech	grid	L	no	no
OT50	-13.5	-57.5	31.55	4.2	Platinum	AdTech	grid	L	no	no
