name	x	y	z	size	material	manufacturer	group	hemisphere	silicon	soz
T01	-47.3109	44.2409	71.0945	4.2	Platinum	AdTech	grid	L	no	no
T02	-49.3109	35.2409	74.0945	4.2	Platinum	AdTech	grid	L	no	no
T03	-52.3109	27.2409	77.0945	4.2	Platinum	AdTech	grid	L	no	no
T04	-53.3109	15.2409	81.0945	4.2	Platinum	AdTech	grid	L	no	no
T05	-55.3109	6.2409	84.0945	4.2	Platinum	AdTech	grid	L	no	no
T06	-54.3109	-3.7591	87.0945	4.2	Platinum	AdTech	grid	L	no	no
T07	-53.3109	-14.7591	90.0945	4.2	Platinum	AdTech	grid	L	no	no
T08	-50.3109	-24.7591	92.0945	4.2	Platinum	AdTech	grid	L	no	no
T09	-41.3109	41.2409	62.0945	4.2	Platinum	AdTech	grid	L	no	no
T10	-48.3109	33.2409	65.0945	4.2	Platinum	AdTech	grid	L	no	no
T11	-53.3109	23.2409	67.0945	4.2	Platinum	AdTech	grid	L	no	no
T12	-55.3109	13.2409	70.0945	4.2	Platinum	AdTech	grid	L	no	no
T13	-56.3109	2.2409	74.0945	4.2	Platinum	AdTech	grid	L	no	no
T14	-55.3109	-7.7591	76.0945	4.2	Platinum	AdTech	grid	L	no	no
T15	-55.3109	-16.7591	80.0945	4.2	Platinum	AdTech	grid	L	no	no
T16	-51.3109	-25.7591	83.0945	4.2	Platinum	AdTech	grid	L	no	no
T17	-45.3109	39.2409	53.0945	4.2	Platinum	AdTech	grid	L	no	no
T18	-48.3109	30.2409	56.0945	4.2	Platinum	AdTech	grid	L	no	no
T19	-52.3109	21.2409	57.0945	4.2	Platinum	AdTech	grid	L	no	no
T20	-55.3109	10.2409	60.0945	4.2	Platinum	AdTech	grid	L	no	no
T21	-56.3109	-0.75912	64.0945	4.2	Platinum	AdTech	grid	L	no	no
T22	-55.3109	-11.7591	66.0945	4.2	Platinum	AdTech	grid	L	no	no
T23	-53.3109	-20.7591	68.0945	4.2	Platinum	AdTech	grid	L	no	no
T24	-49.3109	-29.7591	72.0945	4.2	Platinum	AdTech	grid	L	no	no
T25	-45.3109	36.2409	43.0945	4.2	Platinum	AdTech	grid	L	no	no
T26	-50.3109	27.2409	45.0945	4.2	Platinum	AdTech	grid	L	no	no
T27	-54.3109	18.2409	48.0945	4.2	Platinum	AdTech	grid	L	no	no
T28	-56.3109	7.2409	50.0945	4.2	Platinum	AdTech	grid	L	no	no
T29	-56.3109	-2.7591	53.0945	4.2	Platinum	AdTech	grid	L	no	no
T30	-52.3109	-13.7591	56.0945	4.2	Platinum	AdTech	grid	L	no	no
T31	-51.3109	-23.7591	59.0945	4.2	Platinum	AdTech	grid	L	no	no
T32	-47.3109	-32.7591	63.0945	4.2	Platinum	AdTech	grid	L	no	no
vT1	-1.6263	72.4919	42.5806	4.2	Platinum	AdTech	strip	L	no	no
vT2	-9.6194	67.0196	45.9074	4.2	Platinum	AdTech	strip	L	no	no
vT3	-17.9328	61.834	48.2077	4.2	Platinum	AdTech	strip	L	no	no
vT4	-25.7648	56.6488	50.5902	4.2	Platinum	AdTech	strip	L	no	no
vT5	-32.7953	51.1777	54.0815	4.2	Platinum	AdTech	strip	L	no	no
vT6	-38.7929	43.4437	60.2382	4.2	Platinum	AdTech	strip	L	no	no
vT7	-42.5672	36.7537	64.9736	4.2	Platinum	AdTech	strip	L	no	no
vT8	-45.9972	29.3094	70.5973	4.2	Platinum	AdTech	strip	L	no	no
sTv1	-4.8739	34.2196	47.3352	4.2	Platinum	AdTech	strip	L	no	no
sTv2	-11.665	30.2144	40.7228	4.2	Platinum	AdTech	strip	L	no	no
sTv3	-17.3083	26.0297	33.1926	4.2	Platinum	AdTech	strip	L	no	no
sTv4	-24.4699	22.3859	28.745	4.2	Platinum	AdTech	strip	L	no	no
sTv5	-33.7033	20.6856	27.7118	4.2	Platinum	AdTech	strip	L	no	no
sTv6	-41.1361	19.6046	33.5283	4.2	Platinum	AdTech	strip	L	no	no
sTv7	-45.5461	18.4209	41.9473	4.2	Platinum	AdTech	strip	L	no	no
sTv8	-47.6625	16.0173	51.4457	4.2	Platinum	AdTech	strip	L	yes	no
x1	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no	no
x2	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no	no
x3	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no	no
x4	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no	no
sTm1	-12.811	4.6798	47.5905	4.2	Platinum	AdTech	strip	L	no	yes
sTm2	-21.9701	2.4371	43.228	4.2	Platinum	AdTech	strip	L	no	yes
sTm3	-31.2517	1.6723	42.471	4.2	Platinum	AdTech	strip	L	no	no
sTm4	-40.9521	2.2042	44.1549	4.2	Platinum	AdTech	strip	L	no	no
xx1	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no	no
xx2	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no	no
xx3	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no	no
xx4	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no	no
sTa1	-10.2396	-0.31304	52.8653	4.2	Platinum	AdTech	strip	L	no	yes
sTa2	-17.514	-5.1794	49.0858	4.2	Platinum	AdTech	strip	L	no	yes
sTa3	-26.4176	-9.8667	46.1417	4.2	Platinum	AdTech	strip	L	no	no
sTa4	-33.6293	-13.4358	44.8853	4.2	Platinum	AdTech	strip	L	no	no
MKR1+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no	no
sTov1	4.114	-21.2782	84.9471	4.2	Platinum	AdTech	strip	L	no	no
sTov2	1.4251	-22.441	74.6036	4.2	Platinum	AdTech	strip	L	no	no
sTov3	-2.621	-22.7759	66.3983	4.2	Platinum	AdTech	strip	L	no	no
sTov4	-10.6544	-23.8698	58.341	4.2	Platinum	AdTech	strip	L	no	no
sTov5	-16.7887	-25.3545	53.666	4.2	Platinum	AdTech	strip	L	no	no
sTov6	-26.9828	-26.1952	49.5532	4.2	Platinum	AdTech	strip	L	no	no
sTov7	-35.4147	-28.1815	49.6289	4.2	Platinum	AdTech	strip	L	no	no
sTov8	-41.6612	-27.677	57.1888	4.2	Platinum	AdTech	strip	L	no	no
sToa1	-30.3109	-54.7591	59.0945	4.2	Platinum	AdTech	grid	L	no	no
sToa2	-37.3109	-48.7591	64.0945	4.2	Platinum	AdTech	grid	L	no	no
sToa3	-43.3109	-41.7591	71.0945	4.2	Platinum	AdTech	grid	L	no	no
sToa4	-47.3109	-34.7591	77.0945	4.2	Platinum	AdTech	grid	L	no	no
sToa5	-27.3109	-59.7591	69.0945	4.2	Platinum	AdTech	grid	L	no	no
sToa6	-34.3109	-53.7591	73.0945	4.2	Platinum	AdTech	grid	L	no	no
sToa7	-40.3109	-45.7591	80.0945	4.2	Platinum	AdTech	grid	L	no	no
sToa8	-44.3109	-38.7591	86.0945	4.2	Platinum	AdTech	grid	L	no	no
