name	x	y	z	size	material	manufacturer	group	hemisphere	silicon	soz
T01	-50.629	40.6675	-17.8681	4.2	Platinum	AdTech	grid	L	no	no
T02	-53.629	31.6675	-13.8681	4.2	Platinum	AdTech	grid	L	no	no
T03	-58.629	23.6675	-10.8681	4.2	Platinum	AdTech	grid	L	no	no
T04	-63.629	14.6675	-5.8681	4.2	Platinum	AdTech	grid	L	no	no
T05	-66.629	6.6675	-1.8681	4.2	Platinum	AdTech	grid	L	no	no
T06	-66.629	-3.3325	2.1319	4.2	Platinum	AdTech	grid	L	no	no
T07	-67.629	-12.3325	6.1319	4.2	Platinum	AdTech	grid	L	no	no
T08	-66.629	-22.3325	9.1319	4.2	Platinum	AdTech	grid	L	no	no
T09	-54.629	37.6675	-26.8681	4.2	Platinum	AdTech	grid	L	no	yes
T10	-59.629	29.6675	-22.8681	4.2	Platinum	AdTech	grid	L	no	yes
T11	-64.629	21.6675	-18.8681	4.2	Platinum	AdTech	grid	L	no	no
T12	-64.629	11.6675	-14.8681	4.2	Platinum	AdTech	grid	L	no	no
T13	-66.629	3.6675	-10.8681	4.2	Platinum	AdTech	grid	L	no	no
T14	-66.629	-7.3325	-6.8681	4.2	Platinum	AdTech	grid	L	no	no
T15	-68.629	-16.3325	-3.8681	4.2	Platinum	AdTech	grid	L	no	no
T16	-66.629	-26.3325	0.13194	4.2	Platinum	AdTech	grid	L	no	no
T17	-56.629	34.6675	-36.8681	4.2	Platinum	AdTech	grid	L	no	yes
T18	-61.629	27.6675	-32.8681	4.2	Platinum	AdTech	grid	L	no	yes
T19	-64.629	17.6675	-27.8681	4.2	Platinum	AdTech	grid	L	no	no
T20	-67.629	9.6675	-22.8681	4.2	Platinum	AdTech	grid	L	no	no
T21	-70.629	-0.33248	-19.8681	4.2	Platinum	AdTech	grid	L	no	no
T22	-69.629	-10.3325	-16.8681	4.2	Platinum	AdTech	grid	L	no	no
T23	-67.629	-21.3325	-13.8681	4.2	Platinum	AdTech	grid	L	no	no
T24	-66.629	-31.3325	-10.8681	4.2	Platinum	AdTech	grid	L	no	no
T25	-51.629	26.6675	-45.8681	4.2	Platinum	AdTech	grid	L	no	yes
T26	-58.629	21.6675	-41.8681	4.2	Platinum	AdTech	grid	L	no	yes
T27	-61.629	13.6675	-37.8681	4.2	Platinum	AdTech	grid	L	no	no
T28	-67.629	4.6675	-32.8681	4.2	Platinum	AdTech	grid	L	no	no
T29	-69.629	-4.3325	-29.8681	4.2	Platinum	AdTech	grid	L	no	no
T30	-71.629	-14.3325	-25.8681	4.2	Platinum	AdTech	grid	L	no	no
T31	-66.629	-25.3325	-22.8681	4.2	Platinum	AdTech	grid	L	no	no
